,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1,Trevor Insley,5005,1996,1999,44,298,5005,16.8,35,113.8,WR,Nevada
2,Marcus Harris,4518,1993,1996,46,259,4518,17.4,38,98.2,WR,Wyoming
3,Patrick Edwards,4507,2008,2011,48,291,4507,15.5,43,93.9,WR,Houston
4,Aaron Turner,4345,1989,1992,44,266,4345,16.3,43,98.8,WR,Pacific
5,Geoff Noisy,4249,1995,1998,40,295,4249,14.4,21,106.2,WR,Nevada
6,Jason Rivers,3919,2003,2007,51,292,3919,13.4,35,76.8,WR,Hawaii
7,Josh Davis,3889,2001,2004,49,306,3889,12.7,23,79.4,WR,Marshall
8,Keylon Stokes,3774,2017,2022,58,242,3774,15.6,19,65.1,WR,Tulsa
9,Vincent Marshall,3770,2003,2006,50,272,3770,13.9,26,75.4,WR,Houston
10,Chad Mackey,3763,1993,1996,44,262,3763,14.4,22,85.5,WR,Louisiana Tech
11,Conner Vernon,3749,2009,2012,48,283,3749,13.2,21,78.1,WR,Duke
12,Marc Zeno,3725,1984,1987,44,236,3725,15.8,25,84.7,WR,Tulane
13,Titus Davis,3700,2011,2014,45,204,3700,18.1,37,82.2,WR,Central Michigan
14,Sam Pinckney,3691,2018,2023,59,256,3691,14.4,24,62.6,WR,"Coastal Carolina,Georgia State"
15,Arnold Jackson,3670,1997,2000,44,300,3670,12.2,31,83.4,WR,Louisville
16,Bryan Anderson,3648,2006,2009,54,290,3648,12.6,28,67.6,WR,Central Michigan
17,Joshua Cephus,3639,2019,2023,64,313,3639,11.6,28,56.9,WR,UTSA
18,Nick Harwell,3636,2010,2014,46,273,3636,13.3,28,79,WR,"Kansas,Miami (OH)"
19,Zakhari Franklin,3629,2019,2024,54,287,3629,12.6,38,67.2,WR,"Illinois,Ole Miss,UTSA"
20,Jovon Bouknight,3626,2002,2005,47,250,3626,14.5,29,77.1,WR,Wyoming
21,John Standeford,3618,2000,2003,48,249,3618,14.5,27,75.4,WR,Purdue
22,Cody Hoffman,3612,2010,2013,50,260,3612,13.9,33,72.2,WR,BYU
23,Davone Bess,3610,2005,2007,39,293,3610,12.3,41,92.6,WR,Hawaii
24,Thomas Sperbeck,3601,2013,2016,45,224,3601,16.1,20,80,WR,Boise State
25,Steve Neal,3599,1997,2000,46,235,3599,15.3,27,78.2,WR,Western Michigan
26,James Newson,3572,2000,2003,42,213,3572,16.8,20,85,WR,Oregon State
27,J.R. Tolver,3572,1999,2002,41,262,3572,13.6,18,87.1,WR,San Diego State
28,Chris Williams,3565,2005,2008,42,246,3565,14.5,32,84.9,WR,New Mexico State
29,Tommy Shuler,3563,2011,2014,50,322,3563,11.1,25,71.3,WR,Marshall
30,Naaman Roosevelt,3551,2006,2009,49,268,3551,13.3,28,72.5,QB,Buffalo
31,Dorien Bryant,3548,2004,2007,50,292,3548,12.2,21,71,WR,Purdue
32,Ryan Wolfe,3495,2006,2009,47,283,3495,12.3,15,74.4,WR,Nevada-Las Vegas
33,Tyron Carrier,3493,2008,2011,53,320,3493,10.9,22,65.9,WR,Houston
34,Gabe Marks,3453,2012,2016,50,316,3453,10.9,37,69.1,WR,Washington State
35,Charles Sharon,3450,2002,2005,48,232,3450,14.9,34,71.9,WR,Bowling Green
36,Eric Page,3446,2009,2011,38,306,3446,11.3,25,90.7,WR,Toledo
37,Taylor Stubblefield,3433,2001,2004,46,316,3433,10.9,19,74.6,WR,Purdue
38,Justin Hall,3385,2017,2021,54,318,3385,10.6,18,62.7,WR,Ball State
39,Tory Horton,3382,2020,2024,48,249,3382,13.6,26,70.5,WR,"Colorado State,Nevada"
40,Ryan Grice-Mullen,3370,2005,2007,35,237,3370,14.2,36,96.3,WR,Hawaii
41,Nelson Spruce,3347,2012,2015,49,294,3347,11.4,23,68.3,WR,Colorado
42,Clarkston Hines,3318,1986,1989,44,189,3318,17.6,38,75.4,WR,Duke
43,Cody Thompson,3312,2014,2018,56,181,3312,18.3,30,59.1,WR,Toledo
44,Dan Bitson,3300,1987,1991,43,163,3300,20.2,29,76.7,WR,Tulsa
45,Gerald Harp,3295,1977,1980,44,197,3295,16.7,26,74.9,WR,Western Carolina
46,Freddie Barnes,3290,2006,2009,47,297,3290,11.1,30,70,WR,Bowling Green
47,Keevan Lucas,3250,2013,2016,41,240,3250,13.5,32,79.3,WR,Tulsa
48,Eric Deslauriers,3245,2003,2006,44,248,3245,13.1,27,73.8,WR,Eastern Michigan
49,Devonte Boyd,3242,2014,2017,47,198,3242,16.4,18,69,WR,Nevada-Las Vegas
50,Reggie Allen,3242,1995,1998,41,192,3242,16.9,19,79.1,WR,Central Michigan
51,Sherrod Gideon,3214,1996,1999,41,193,3214,16.7,30,78.4,WR,Southern Mississippi
52,Keyarris Garrett,3209,2011,2015,46,219,3209,14.7,22,69.8,WR,Tulsa
53,Geoff McArthur,3188,2000,2004,51,202,3188,15.8,20,62.5,WR,California
54,Tez Johnson,3181,2020,2024,53,249,3181,12.8,20,60,WR,"Oregon,Troy"
55,Greg Primus,3146,1989,1992,46,190,3146,16.6,16,68.4,WR,Colorado State
56,Bryan Rowley,3143,1989,1993,48,177,3143,17.8,25,65.5,WR,Utah
57,Martin Nance,3131,2002,2005,40,208,3131,15.1,26,78.3,WR,Miami (OH)
58,Tre Harris,3130,2020,2024,47,198,3130,15.8,26,66.6,WR,"Louisiana Tech,Ole Miss"
59,Rick Beasley,3124,1977,1980,43,178,3124,17.6,23,72.7,WR,Appalachian State
